Wild Wild West,1999,5,Will Smith,Capt. James West,Kevin Kline,U.S. Marshal Artemus Gordon,Kenneth Branagh,Dr. Arliss Loveless,Salma Hayek,Rita Escobar,M. Emmet Walsh,Coleman
The Mummy: Tomb of the Dragon Emperor,2008,5,Brendan Fraser,Richard O'Connell,Jet Li,Emperor Han,John Hannah,Jonathan Carnahan,Maria Bello,Evelyn O’Connell,Luke Ford,Alex O'Connell
Suicide Squad,2016,5,Will Smith,Floyd Lawton and Deadshot,Margot Robbie,Harleen Quinzel and Harley Quinn,Joel Kinnaman,Rick Flag,Viola Davis,Amanda Waller,Jared Leto,The Joker
Evan Almighty,2007,5,Steve Carell,Evan Baxter,Lauren Graham,Joan Baxter,John Goodman,Congressman Long,Jimmy Bennett,Ryan Baxter,John Michael Higgins,Marty
Edge of Tomorrow,2014,5,Tom Cruise,Maj. William "Bill" Cage,Emily Blunt,Sgt. Rita Vrataski,Brendan Gleeson,General Brigham,Bill Paxton,Msg. Farell,Jonas Armstrong,Skinner
Waterworld,1995,5,Kevin Costner,Mariner,Chaim Girafi,Drifter,Rick Aviles,Gatesman,R. D. Call,Enforcer,Zitto Kazann,Elder and Survivor
G.I. Joe: The Rise of Cobra,2009,5,Dennis Quaid,General Hawk,Channing Tatum,Duke,Marlon Wayans,Ripcord,Sienna Miller,Ana Lewis and Baroness,Joseph Gordon-Levitt,The Doctor and Rex
Inside Out,2015,5,Amy Poehler,Joy (voice),Phyllis Smith,Sadness (voice),Richard Kind,Bing Bong (voice),Bill Hader,Fear (voice),Lewis Black,Anger (voice)
The Jungle Book,2016,5,Neel Sethi,Mowgli,Bill Murray,Baloo (voice),Ben Kingsley,Bagheera (voice),Idris Elba,Shere Khan (voice),Scarlett Johansson,Kaa (voice)
Iron Man 2,2010,5,Robert Downey Jr.,Tony Stark and Iron Man,Gwyneth Paltrow,Virginia "Pepper" Potts,Don Cheadle,Lt. Col. James "Rhodey" Rhodes and War Machine,Scarlett Johansson,Natalie Rushman and Natasha Romanoff and Black Widow,Mickey Rourke,Ivan Vanko and Whiplash
Snow White and the Huntsman,2012,5,Kristen Stewart,Snow White,Charlize Theron,Queen Ravenna,Chris Hemsworth,The Huntsman,Sam Claflin,William,Ian McShane,Beith
Maleficent,2014,5,Angelina Jolie,Maleficent,Elle Fanning,Princess Aurora,Sharlto Copley,Stefan,Sam Riley,Diaval,Juno Temple,Thistletwit
Dawn of the Planet of the Apes,2014,5,Andy Serkis,Caesar,Jason Clarke,Malcolm,Gary Oldman,Dreyfus,Keri Russell,Ellie,Toby Kebbell,Koba
